threshold,sensitivity,specificity,accuracy,f1,precision,roc_auc
0.458,0.8206,0.6075,0.6374,0.3887,0.2547,0.8056
0.459,0.8206,0.6099,0.6395,0.3901,0.2559,0.8056
0.46,0.8206,0.6111,0.6405,0.3908,0.2565,0.8056
0.461,0.8206,0.612,0.6413,0.3913,0.2569,0.8056
0.462,0.8206,0.6132,0.6424,0.392,0.2575,0.8056
0.463,0.8206,0.6154,0.6442,0.3932,0.2586,0.8056
0.464,0.8206,0.6171,0.6457,0.3942,0.2594,0.8056
0.465,0.8206,0.618,0.6465,0.3948,0.2599,0.8056
0.466,0.8206,0.6197,0.6479,0.3958,0.2608,0.8056
0.467,0.8206,0.6202,0.6483,0.396,0.261,0.8056
0.468,0.8206,0.6214,0.6494,0.3967,0.2616,0.8056
0.469,0.8206,0.6224,0.6502,0.3973,0.2621,0.8056
0.47,0.8206,0.6233,0.651,0.3979,0.2626,0.8056
0.471,0.8206,0.624,0.6517,0.3983,0.263,0.8056
0.472,0.8206,0.6257,0.6531,0.3993,0.2639,0.8056
0.473,0.8206,0.6262,0.6535,0.3996,0.2641,0.8056
0.474,0.8206,0.6267,0.6539,0.3999,0.2644,0.8056
0.475,0.8206,0.6274,0.6545,0.4003,0.2648,0.8056
0.476,0.8206,0.6291,0.656,0.4013,0.2656,0.8056
0.477,0.8206,0.6303,0.657,0.402,0.2663,0.8056
0.478,0.8206,0.6325,0.6589,0.4033,0.2674,0.8056
0.479,0.8206,0.6339,0.6601,0.4042,0.2682,0.8056
0.48,0.8206,0.6353,0.6614,0.4051,0.269,0.8056
0.481,0.8206,0.6363,0.6622,0.4057,0.2695,0.8056
0.482,0.8206,0.637,0.6628,0.4061,0.2699,0.8056
0.483,0.8206,0.6373,0.663,0.4063,0.27,0.8056
0.484,0.8206,0.6387,0.6643,0.4072,0.2708,0.8056
0.485,0.8206,0.6401,0.6655,0.4081,0.2716,0.8056
0.486,0.8206,0.6411,0.6663,0.4087,0.2721,0.8056
0.487,0.8206,0.643,0.668,0.4099,0.2732,0.8056
0.488,0.8191,0.6447,0.6692,0.4103,0.2737,0.8056
0.489,0.8191,0.6462,0.6705,0.4112,0.2746,0.8056
0.49,0.8191,0.6474,0.6715,0.412,0.2752,0.8056
0.491,0.8191,0.6481,0.6721,0.4125,0.2757,0.8056
0.492,0.8191,0.6495,0.6733,0.4134,0.2765,0.8056
0.493,0.8191,0.6507,0.6744,0.4141,0.2772,0.8056
0.494,0.8191,0.6524,0.6758,0.4152,0.2781,0.8056
0.495,0.8191,0.6541,0.6773,0.4163,0.2791,0.8056
0.496,0.8191,0.6548,0.6779,0.4168,0.2795,0.8056
0.497,0.8191,0.6567,0.6795,0.418,0.2807,0.8056
0.498,0.8191,0.6587,0.6812,0.4193,0.2818,0.8056
0.499,0.8191,0.6608,0.6831,0.4207,0.2831,0.8056
